predictor,coefficient,std_err,t_value,p_value,ci_lower,ci_upper
const,41.932820722808366,0.3722974448269987,112.63257727243857,0.0,41.20296309861993,42.6626783469968
Hours_Studied,0.2929277525400768,0.0048105714547943094,60.8925062838718,0.0,0.2834970344361253,0.3023584706440283
Attendance,0.19877141212894267,0.0025060759416209704,79.31579758926783,0.0,0.19385846239425614,0.2036843618636292
Sleep_Hours,-0.012356065346881264,0.019779187471424077,-0.6247003505443616,0.5321948543404676,-0.05113148800115017,0.02641935730738764
Previous_Scores,0.04899534811953557,0.002006394300372389,24.41960092811367,7.591068331716408e-125,0.0450619819425652,0.05292871429650594
Tutoring_Sessions,0.5087310814747045,0.02335438339361154,21.78310910207396,8.55941456956417e-101,0.4629467898689216,0.5545153730804873
Physical_Activity,0.19167189298227252,0.027971580405869754,6.852379815552029,8.096626085880682e-12,0.13683597749724802,0.24650780846729703
Parental_Involvement_Low,-2.002508812022128,0.08363905190945185,-23.94227058180975,2.505888446137627e-120,-2.1664760929267075,-1.8385415311175484
Parental_Involvement_Medium,-1.0726458104493968,0.06718297271896209,-15.966036735773189,4.503784206083398e-56,-1.2043523411707224,-0.9409392797280712
Access_to_Resources_Low,-2.0917933941994638,0.08354497838569865,-25.037930880086744,8.35722780138625e-131,-2.2555762519244067,-1.9280105364745208
Access_to_Resources_Medium,-1.0322659767170421,0.06672669262938076,-15.470060571569825,7.947268714269076e-53,-1.1630780089485886,-0.9014539444854955
Extracurricular_Activities_Yes,0.5858461732098593,0.05880670631530166,9.962234070188362,3.574709759759691e-23,0.4705606036900963,0.7011317427296223
Motivation_Level_Low,-1.0462285469596813,0.08397521054239608,-12.458778491915515,3.910104105988004e-35,-1.210854838407041,-0.8816022555123215
Motivation_Level_Medium,-0.5501253028881061,0.0766486454820272,-7.17723450203828,8.102809049411149e-13,-0.7003884837562147,-0.39986212201999755
Internet_Access_Yes,0.9562288807061683,0.10755745640153959,8.890400653733577,8.232007977685844e-19,0.7453715925787748,1.1670861688335619
Family_Income_Low,-1.1064328347626922,0.07997710268096386,-13.834370059345062,8.81802464075244e-43,-1.263221174202753,-0.9496444953226313
Family_Income_Medium,-0.6361758293842555,0.0801657287714694,-7.935758074348942,2.5375781326725618e-15,-0.7933339543068364,-0.4790177044616747
Teacher_Quality_Low,-0.9939986784248463,0.10589594187853954,-9.38656062538206,9.00496998156792e-21,-1.201598707983423,-0.7863986488662698
Teacher_Quality_Medium,-0.5288567144595632,0.0640119992172971,-8.26183717000136,1.7983590578248176e-16,-0.6543468200658435,-0.4033666088532828
School_Type_Public,0.009114076625703455,0.06272782921820029,0.14529558473958848,0.8844830708277378,-0.11385852240722294,0.13208667565862986
Peer_Influence_Neutral,0.5600329337711148,0.07841702899085348,7.1417259870485115,1.047208680352437e-12,0.4063029867343432,0.7137628808078865
Peer_Influence_Positive,1.0454395748157472,0.07754900079289948,13.48101927976704,9.55348081508755e-41,0.8934113235791755,1.197467826052319
Learning_Disabilities_Yes,-0.8611184261109383,0.09219437569595026,-9.340249007714293,1.3860676364870843e-20,-1.0418576950582457,-0.6803791571636308
Parental_Education_Level_High School,-0.44908920001817554,0.06612788641191286,-6.791222650317048,1.2348389356135073e-11,-0.5787273233516004,-0.31945107668475065
Parental_Education_Level_Postgraduate,0.5247582864563415,0.08302112285799496,6.320780403728389,2.8171530643597604e-10,0.3620024031470984,0.6875141697655845
Distance_from_Home_Moderate,0.2867922790158111,0.1011110030950946,2.8364101852108403,0.0045798285456773976,0.0885727168789088,0.48501184115271345
Distance_from_Home_Near,0.8338060306294394,0.09443405267264984,8.8295059571337,1.41006847394223e-18,0.6486760645664882,1.0189359966923905
Gender_Male,-0.026109104952421497,0.058337767115918114,-0.44755063903186887,0.6544959741058466,-0.14047535886928011,0.08825714896443712
